ImageNumber,ObjectNumber,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TIMEPOINT,TREATMENT,WELL,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EDU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EDU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EDU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EDU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
71,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,229.4431438,13530.45134,194.7686353,1625.31247,0.002650561,0.156305755,0.002249996,0.018775848,0,0.162091509,0.00130719,0.018300654,0.009003692,0.088325151,0.002451831,0.010755845,1,79512,1777.044,0.016957538,0.014394837,1.20E-01,0.002885642,0.00244955,2.04E-02,2.13E-07,1.81E-07,1.51E-06
73,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,104.3163427,3520.641918,48.08627644,377.8666789,0.004366528,0.147368854,0.00201282,0.015816939,0,0.156862751,0.00130719,0.015686275,0.013444132,0.076194446,0.001954027,0.007903791,1,20825,706.01,0.029629921,0.013658383,1.07E-01,0.005009188,0.002309065,1.81E-02,1.42E-06,6.56E-07,5.15E-06
73,2,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,216.7516401,4235.602731,76.095428,509.1947873,0.008288465,0.161967142,0.002909848,0.019471331,0,0.162091509,0.002614379,0.018300654,0.01563712,0.088665146,0.002578099,0.00931658,2,22675,845.034,0.051173742,0.017965667,1.20E-01,0.009559058,0.003355917,2.25E-02,2.26E-06,7.92E-07,5.30E-06
78,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,1.921568695,587.4679897,23.16732116,189.8405289,0.000170307,0.052066648,0.002053294,0.016825359,0,0.043137256,0.00130719,0.015686275,0.001279998,0.038405626,0.002639063,0.009104577,1,8779,576.52,0.003270933,0.039435887,3.23E-01,0.000218882,0.002638948,2.16E-02,3.73E-07,4.49E-06,3.68E-05
78,2,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,1.539869326,3624.841924,43.75163565,421.5869419,5.38E-05,0.126627609,0.001528388,0.014727414,0,0.135947719,0.00130719,0.013071896,0.000987532,0.066276813,0.001617984,0.007857954,2,25182,733.576,0.00042481,0.012069943,1.16E-01,6.11E-05,0.001737417,1.67E-02,1.69E-08,4.79E-07,4.62E-06
79,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,57.25751779,2518.762159,27.35686371,442.3974002,0.001762204,0.077519456,0.000841957,0.013615579,0,0.070588239,0,0.013071896,0.010830344,0.051832713,0.001403914,0.008110902,1,28837,900.028,0.022732404,0.010861233,1.76E-01,0.001985557,0.000948672,1.53E-02,7.88E-07,3.77E-07,6.09E-06
79,2,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,2.185620979,2145.088946,17.10980453,235.0065439,0.000114779,0.112650402,0.00089853,0.012341484,0,0.118954249,0,0.010457517,0.001219068,0.063333914,0.001259215,0.007373525,2,16751,548.622,0.001018895,0.007976268,1.10E-01,0.000130477,0.00102142,1.40E-02,6.08E-08,4.76E-07,6.54E-06
80,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,4.185621035,4528.584419,28.46274612,343.8353056,0.000154121,0.166749555,0.001048043,0.012660553,0,0.189542487,0,0.013071896,0.002039536,0.083862959,0.001340474,0.007792348,1,23848,713.538,0.000924267,0.006285131,7.59E-02,0.000175512,0.001193507,1.44E-02,3.88E-08,2.64E-07,3.18E-06
82,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,0,3141.397472,706.3621149,575.0222417,0,0.063854734,0.014358121,0.011688394,0,0.053594772,0.011764706,0.010457517,0,0.04034895,0.011527516,0.007049392,1,44210,1345.798,0,0.224856014,1.83E-01,0,0.015977429,1.30E-02,0.00E+00,5.09E-06,4.14E-06
84,1,MALE,Tg,BM15,+,Tg/WT,12HR,NOUV,1,58.63006703,12539.11408,155.6575228,1149.573892,0.000986175,0.21091156,0.002618205,0.019336169,0,0.23137255,0.002614379,0.015686275,0.005874201,0.094097735,0.002351591,0.013533411,1,54815,1014.232,0.004675774,0.012413758,9.17E-02,0.001069599,0.002839688,2.10E-02,8.53E-08,2.26E-07,1.67E-06
