ImageNumber,ObjectNumber,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TIMEPOINT,TREATMENT,WELL,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EDU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EDU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EDU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EDU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
467,2,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,727.1124383,3443.418394,3736.092909,587.1085152,0.021059852,0.099734067,0.108210998,0.017004823,0.009150327,0.100653596,0.099346407,0.015686275,0.030714248,0.050520279,0.07502453,0.01286689,2,31252,854.2,0.211160061,1.084995339,1.71E-01,0.023266109,0.119547322,1.88E-02,6.76E-06,3.47E-05,5.46E-06
475,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,164.5202663,944.7215942,0.237908505,390.7764825,0.009399547,0.053974838,1.36E-05,0.022326257,0.003921569,0.050980393,0,0.018300654,0.01299848,0.031239404,0.000181143,0.018870113,1,14992,544.66,0.174146825,0.000251829,4.14E-01,0.01097387,1.59E-05,2.61E-02,1.16E-05,1.68E-08,2.76E-05
477,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,493.4065495,3174.356947,4920.777908,479.0065517,0.012178668,0.078352099,0.121458703,0.011823235,0,0.078431375,0.121568628,0.010457517,0.029146633,0.03917814,0.073412453,0.010129263,1,36394,905.41,0.155435119,1.550165274,1.51E-01,0.01355736,0.135208493,1.32E-02,4.27E-06,4.26E-05,4.15E-06
479,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,340.9490289,2613.160855,4538.776587,324.4235404,0.008880962,0.068067017,0.118225016,0.00845051,0,0.06666667,0.120261438,0.005228758,0.021027262,0.039877212,0.077565038,0.008604028,1,33907,992.282,0.130473801,1.736891389,1.24E-01,0.010055417,0.133859574,9.57E-03,3.85E-06,5.12E-05,3.66E-06
480,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,4508.292926,7674.154452,1350.313765,1303.709843,0.079435686,0.13521786,0.023792398,0.022971242,0.049673203,0.139869288,0.003921569,0.020915033,0.079092561,0.080736887,0.036748665,0.018324316,1,51390,1332.81,0.58746445,0.175956032,1.70E-01,0.087727047,0.026275808,2.54E-02,1.14E-05,3.42E-06,3.31E-06
483,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,810.8967551,1554.017035,3958.210556,454.0235434,0.035585937,0.068197526,0.173704768,0.019924674,0,0.06797386,0.190849677,0.015686275,0.061716438,0.032601894,0.084431864,0.015688934,1,20093,575.902,0.521806864,2.547083119,2.92E-01,0.040357177,0.196994503,2.26E-02,2.60E-05,1.27E-04,1.45E-05
484,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,881.5411988,1584.891543,1851.766064,282.488898,0.043098719,0.077485653,0.0905332,0.013810937,0.009150327,0.077124186,0.065359481,0.013071896,0.067926288,0.043537624,0.083540247,0.010471272,1,18077,673.462,0.556215473,1.168386614,1.78E-01,0.048765901,0.102437687,1.56E-02,3.08E-05,6.46E-05,9.86E-06
484,2,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,1883.817043,3370.52558,4112.568738,521.2706051,0.051123997,0.091471059,0.111609008,0.01414651,0.020915033,0.094117649,0.112418301,0.013071896,0.064040807,0.04342784,0.066372458,0.010752383,2,33373,893.422,0.558908989,1.220156513,1.55E-01,0.056447339,0.123230418,1.56E-02,1.67E-05,3.66E-05,4.63E-06
485,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,515.3137399,2290.669342,2725.413147,405.5032811,0.015235151,0.067723195,0.080576311,0.011988626,0,0.06797386,0.065359481,0.010457517,0.031799256,0.036451433,0.080402813,0.010714848,1,30392,734.812,0.22496208,1.189788983,1.77E-01,0.016955572,0.089675347,1.33E-02,7.40E-06,3.91E-05,5.82E-06
491,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,697.1045943,1874.409202,194.0967377,1249.968663,0.025299579,0.068026755,0.007044231,0.045364327,0.014379085,0.064052291,0,0.031372551,0.034054253,0.043112247,0.019538736,0.046261234,1,23909,819.576,0.371906302,0.103550888,6.67E-01,0.029156577,0.008118145,5.23E-02,1.56E-05,4.33E-06,2.79E-05
491,2,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,1227.445784,2681.440596,851.8862986,1055.427481,0.046099519,0.100707601,0.031994528,0.03963898,0.015686275,0.101960786,0.005228758,0.031372551,0.059029879,0.059709847,0.05318947,0.037743617,2,23267,722.162,0.457756098,0.317697248,3.94E-01,0.052754794,0.0366135,4.54E-02,1.97E-05,1.37E-05,1.69E-05
494,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,1547.156905,4614.104697,3377.005322,654.188256,0.034634481,0.103290831,0.075597263,0.014644585,0.007843138,0.105882354,0.060130719,0.013071896,0.05020988,0.050728232,0.065433245,0.012671793,1,40294,1029.314,0.335310316,0.73188745,1.42E-01,0.038396707,0.083809136,1.62E-02,8.32E-06,1.82E-05,3.52E-06
500,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,1,111.3973888,964.6183271,552.0366161,210.0156926,0.011882388,0.102892622,0.058883906,0.022401674,0.003921569,0.108496733,0.044444446,0.020915033,0.016620676,0.056394232,0.056213578,0.016373893,1,7617,361.756,0.115483384,0.572285017,2.18E-01,0.014624838,0.072474283,2.76E-02,1.52E-05,7.51E-05,2.86E-05
510,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,2,315.7398778,1978.133387,1288.909838,439.1634122,0.014697197,0.092079011,0.059996734,0.020442369,0.002614379,0.084967323,0.035294119,0.018300654,0.025220534,0.056234877,0.063675054,0.01567834,1,18823,576.386,0.159615059,0.65157883,2.22E-01,0.016774153,0.068475261,2.33E-02,8.48E-06,3.46E-05,1.18E-05
514,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,2,1034.941206,3548.002708,1293.762128,1418.588276,0.027627164,0.094711906,0.034536241,0.037868404,0.011764706,0.094117649,0.015686275,0.031372551,0.036984146,0.059194896,0.04729897,0.028588952,1,33516,908.614,0.291696848,0.364645192,4.00E-01,0.030879019,0.038601329,4.23E-02,8.70E-06,1.09E-05,1.19E-05
514,2,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,2,228.8248429,4662.185749,5139.794901,886.0052553,0.006021073,0.122676185,0.135243524,0.023313474,0,0.122875817,0.149019614,0.018300654,0.015066401,0.068790092,0.07179615,0.026099368,2,34535,754.538,0.049081022,1.102443184,1.90E-01,0.006625882,0.148828577,2.57E-02,1.42E-06,3.19E-05,5.50E-06
519,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,2,7.299346651,965.5869525,174.6065407,79.78823789,0.001180551,0.156168034,0.028239777,0.012904454,0,0.156862751,0.003921569,0.010457517,0.003244176,0.098627179,0.043021862,0.010255062,1,5309,373.66,0.007559492,0.180829433,8.26E-02,0.0013749,0.032888781,1.50E-02,1.42E-06,3.41E-05,1.56E-05
519,2,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,2,1110.498071,24744.50788,3058.066754,2304.434057,0.009721257,0.216612461,0.026770198,0.020172926,0.002614379,0.230065361,0.011764706,0.015686275,0.0155852,0.111336509,0.034013689,0.02204404,2,107865,2020.73,0.044878568,0.123585677,9.31E-02,0.010295259,0.028350871,2.14E-02,4.16E-07,1.15E-06,8.63E-07
519,3,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,2,28.49019697,4155.894226,1675.738607,310.2170034,0.001131461,0.165047428,0.066550382,0.012319976,0,0.176470593,0.043137256,0.010457517,0.004034566,0.103048248,0.070278198,0.011391707,3,22685,690.156,0.006855371,0.403219744,7.46E-02,0.001255905,0.073869897,1.37E-02,3.02E-07,1.78E-05,3.29E-06
528,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,2,44.47581835,3810.422323,2949.132103,448.9281186,0.001723335,0.147645006,0.114272013,0.017394921,0,0.145098045,0.125490204,0.015686275,0.004894523,0.08185198,0.068803403,0.013623254,1,22856,638.8,0.011672149,0.77396463,1.18E-01,0.001945914,0.129030981,1.96E-02,5.11E-07,3.39E-05,5.15E-06
533,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,2,197.1777833,2876.651052,5755.141325,399.3699477,0.005821434,0.084929617,0.169913534,0.011790911,0,0.087581702,0.18169935,0.010457517,0.014248304,0.040714259,0.07949494,0.009927195,1,30462,725.404,0.068544213,2.000639362,1.39E-01,0.00647291,0.188928545,1.31E-02,2.25E-06,6.57E-05,4.56E-06
533,2,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,2,2746.79746,10673.61858,8919.010691,1345.631414,0.037759261,0.146726491,0.122606512,0.018497923,0.010457517,0.151633993,0.109803922,0.015686275,0.052470944,0.088039689,0.087239044,0.016045917,2,66065,1497.388,0.25734454,0.835612649,1.26E-01,0.041577196,0.135003568,2.04E-02,3.90E-06,1.26E-05,1.91E-06
561,1,MALE,WT,BM30,+,Tg/WT,24HR,NOUV,2,304.1085054,4005.865466,1497.04841,907.6941455,0.006618248,0.087178791,0.032579944,0.019753953,0,0.077124186,0.009150327,0.015686275,0.025032493,0.055226863,0.0445088,0.025443207,1,41231,1059.964,0.075915806,0.373714101,2.27E-01,0.007375725,0.036308807,2.20E-02,1.84E-06,9.06E-06,5.50E-06
