x,diff,lwr,upr,p adj
3HR-24HR,eduAreaDiff,0.138444742211279,-0.109593877560622,0.38648336198318,0.298395502620588
6HR-24HR,eduAreaDiff,0.169197795753132,-0.0788408240187692,0.417236415525033,0.177973653796279
6HR-3HR,eduAreaDiff,0.030753053541853,-0.217285566230048,0.278791673313754,0.984098254351559
12HR-0HR,caspAreaDiff,0.00126434186501252,-0.0211421198155144,0.0236708035455394,0.999202042148739
24HR-0HR,caspAreaDiff,-0.00133568648888376,-0.0237421481694107,0.0210707751916431,0.999010966291924
3HR-0HR,caspAreaDiff,0.00734499326104831,-0.0150614684194786,0.0297514549415752,0.695978173819608
6HR-0HR,caspAreaDiff,0.00552179819733975,-0.0168846634831872,0.0279282598778667,0.850595420885497
24HR-12HR,caspAreaDiff,-0.00260002835389627,-0.0250064900344232,0.0198064333266306,0.987504621389096
3HR-12HR,caspAreaDiff,0.00608065139603579,-0.0163258102844911,0.0284871130765627,0.806494721573097
6HR-12HR,caspAreaDiff,0.00425745633232724,-0.0181490053481997,0.0266639180128541,0.931360447936186
3HR-24HR,caspAreaDiff,0.00868067974993206,-0.0137257819305948,0.031087141430459,0.575784915288441
6HR-24HR,caspAreaDiff,0.00685748468622351,-0.0155489769943034,0.0292639463667504,0.739730376242018
6HR-3HR,caspAreaDiff,-0.00182319506370855,-0.0242296567442355,0.0205832666168184,0.996702261112012
12HR-0HR,tunelAreaDiff,-0.00210244331522299,-0.00616333162890573,0.00195844499845974,0.351906449889446
24HR-0HR,tunelAreaDiff,-0.00198938655840261,-0.00605027487208534,0.00207150175528013,0.393310631416725
3HR-0HR,tunelAreaDiff,0.00061180582796699,-0.00344908248571575,0.00467269414164973,0.968299688601622
6HR-0HR,tunelAreaDiff,-0.00138419100864648,-0.00544507932232922,0.00267669730503626,0.669462090863018
24HR-12HR,tunelAreaDiff,0.000113056756820388,-0.00394783155686235,0.00417394507050313,0.999951168041688
3HR-12HR,tunelAreaDiff,0.00271424914318998,-0.00134663917049275,0.00677513745687272,0.188504639448134
6HR-12HR,tunelAreaDiff,0.000718252306576511,-0.00334263600710623,0.00477914062025925,0.945560862133783
3HR-24HR,tunelAreaDiff,0.0026011923863696,-0.00145969592731314,0.00666208070005233,0.211788842447109
6HR-24HR,tunelAreaDiff,0.000605195549756123,-0.00345569276392661,0.00466608386343886,0.969469306262589
6HR-3HR,tunelAreaDiff,-0.00199599683661347,-0.00605688515029621,0.00206489147706927,0.390786686649365
