gene,FPKM.refGTF_NoRad_CD24Pos_1,FPKM.refGTF_NoRad_CD24Pos_2,FPKM.refGTF_Rad_CD24Neg_3,FPKM.refGTF_Rad_CD24Neg_1,FPKM.refGTF_Rad_CD24Neg_2,FPKM.refGTF_Rad_CD24Pos_1,FPKM.refGTF_Rad_CD24Pos_2,FPKM.refGTF_Rad_CD24Pos_3
Slc48a1,7.209509,7.867863,4.490499,4.842264,3.934262,7.227259,7.853182,7.893801
Slc4a1,0,0,0,0,0,0.011217,0,0.005349
Slc4a10,0,0.008493,0.107083,0.062357,0.082848,0.01827,0.008466,0.004488
Slc4a11,0,0,0.769009,0.12289,0.071411,0.007867,0.007389,0.164982
Slc4a1ap,2.810319,4.72638,6.460794,6.716321,4.801764,4.01836,4.675518,4.916247
Slc4a2,7.127328644,9.918443375,26.42730569,29.10801191,25.3855555,10.39953454,12.75918008,10.76421417
Slc4a3,0.004984,0,0.131911,0,0.032218,0,0.101147,0.011145
Slc4a4,1.810282649,3.88654253,17.35925866,21.05910959,20.77464268,3.848835693,4.309233509,2.555639
Slc4a5,0.838244,0.964564,4.08414,4.597165,4.744725,1.158161,1.118734,0.561426
Slc4a7,3.222723,6.616355,33.336231,19.761541,31.281233,5.50298,5.470367,4.906299
Slc4a8,0.092983,0.196671,0.225265,0.029146,0.047306,0.022522,0.164324,0.222703
Slc4a9,0,0,0,0,0.012442472,0,0,0.007083727
Slc50a1,27.178345,37.840927,23.025002,27.988085,23.625748,27.242912,37.733143,32.586464
Slc51a,5.674101,13.524969,125.730858,144.407516,152.90799,10.267188,5.68735,4.57569
Slc51b,1.988379,10.74434,96.931915,48.644581,67.430992,3.019273,2.914677,2.268147
Slc52a2,2.056166,5.453914,25.19529,21.999277,24.783726,3.548704,4.365571,4.52218
Slc52a3,7.066730408,10.51206105,34.29303401,19.55696083,16.24259538,7.801496636,10.33563979,9.264561193
Slc5a1,11.91234,70.928421,360.847504,271.418671,310.907501,24.943001,23.38603,20.143234
Slc5a10,0.014718,0,0.074067,0.055119,0.013788,0.012899,0,0
Slc5a11,0.811452,5.028442,25.026079,23.448162,27.630991,1.126751,0.931688,0.634139
Slc5a12,0.209009341,1.3433553,9.170222316,5.813776426,5.624807192,0.27555901,0.230661274,0.209418357
Slc5a2,0,0,0.015946,0,0,0,0,0
Slc5a3,0.108326,0.218231,0.551428,0.705424,0.655127,0.317935,0.371162,0.364581
Slc5a4a,0.312155,1.40992,1.973571,1.270547,2.40574,0.09861,0.097486,0.058937
Slc5a4b,1.104638,2.991384,14.826708,13.316168,12.036061,0.726055,0.793996,1.331773
Slc5a5,0.350773,0.348348,0.126524,0.097842,0.044194,0.488361,0.422061,0.43956
Slc5a6,0.712066391,2.358340877,5.091193177,5.36154357,4.739856152,1.87797736,1.807773952,1.615601024
Slc5a7,0,0,0,0,0,0,0,0
Slc5a8,0.86358,1.479945,8.520697,6.595663,4.114485,0.387587,0.235695,0.392823
Slc5a9,0.700406,3.13794,12.973724,8.80824,9.253778,2.236984,2.733339,4.00461
Slc6a1,0,0,0,0,0,0,0.005471,0
Slc6a11,0,0,0,0,0,0,0,0
Slc6a12,0,0,0.146155,0.088632,0.0559,0.019717,0.063753,0.058061
Slc6a13,0,0,0,0,0,0,0,0
Slc6a14,0.04532,0.037273,0.744639,0.156053,0.037649,0.02216,0.027339,0.014422
Slc6a15,0,0,0,0,0,0,0,0
Slc6a17,0,0,0,0,0,0,0,0
Slc6a18,0,0.038614462,0.270425612,0.066323955,0.071648636,0,0,0
Slc6a19,2.629679,18.473728,178.996704,70.544243,87.244995,3.591916,4.739528,8.367326
Slc6a19os,0.021775,0.046062,0.724682,0.193518,0.317764,0.0665,0.158542,0.193465
Slc6a2,0,0,0,0,0,0,0,0
Slc6a20a,3.577125,11.249541,78.746353,135.597351,146.42717,8.883737,7.099958,2.721226
Slc6a20b,0.065538,0.162557,4.286517,9.649914,10.237889,0.288637,0.139768,0.129283
Slc6a3,0,0.200281,6.390251,1.647782,1.66686,0.043771,0.034083,0.214207
Slc6a4,2.536825,5.101626,35.404129,26.28117,36.088982,3.350594,4.84996,2.653671
Slc6a5,0,0,0,0.009403311,0,0,0,0.019345411
Slc6a6,8.648419,17.349318,34.847187,38.07267,33.683502,13.045804,15.06945,14.545198
Slc6a7,0.344846,1.175749,1.222926,0.812589,0.554681,0.773561,1.433406,1.349328
Slc6a8,4.517450027,17.03469567,228.3268836,105.4250355,94.99005801,9.052127351,8.732187954,12.64015177
Slc6a9,5.42899,8.555929,2.766755,5.959622,4.789443,6.148417,5.053371,5.98642
Slc7a1,8.496958,14.04004,6.295255,13.324384,11.103525,11.509478,13.71248,11.495945
Slc7a10,0,0,0,0,0,0,0,0
Slc7a11,0.342039,0.664288,0.226699,0.221321,0.153785,0.449519,0.605263,0.619535
Slc7a12,0,0,0,0,0,0,0,0
Slc7a13,0,0,0,0,0,0,0,0
Slc7a14,0.162855,0.290223,0.539061,0.442275,0.511402,0.339138,0.339546,0.338298
Slc7a15,0.296209433,2.853341595,27.09210424,8.066183613,9.51513369,0.383012234,0.270267274,0.572705422
Slc7a2,0.530956625,0.932904193,0.065480967,0.084652743,0.117414509,0.323579873,0.405078183,0.244826691
Slc7a3,0,0,0.030185,0,0,0,0,0
Slc7a4,4.692344,5.532414,5.086002,4.766922,4.581518,4.846007,6.972879,5.798729
Slc7a5,6.15989,13.235731,2.794389,3.53829,2.887268,7.754735,13.322506,11.233498
Slc7a6,2.86604,6.079257,1.950866,2.911288,1.905901,5.016589,5.136509,6.491894
Slc7a6os,3.813116,10.484264,9.603649,11.511953,9.867108,7.642366,9.392064,11.420539
Slc7a7,6.27765908,14.02358467,102.5436451,87.84652025,98.29502519,11.23136676,11.04510526,10.592685
Slc7a8,4.253725,10.612225,38.649742,70.235451,61.061569,7.544076,9.206583,3.483182
Slc7a9,2.858740353,10.6116845,141.4570206,108.1623271,120.4770171,7.964716972,6.690044044,6.812300859
Slc8a1,0.036718856,0.043186643,0.344603494,0.087926471,0.261214039,0.039978572,0.172557038,0.097965477
Slc8a2,0,0,0,0,0,0,0,0
Slc8a3,0.01316126,0,0.122574058,0.009431404,0.028495006,0,0,0
Slc8b1,0.889636824,1.221076974,1.795141699,1.748175093,1.241960045,1.459066113,1.409600824,1.403690131
Slc9a1,2.887032,5.600088,11.064547,14.17649,11.556576,4.82155,6.336585,5.67672
Slc9a2,2.236398,4.385042,48.451752,40.65202,37.150463,4.513715,4.236325,3.797115
Slc9a3,1.323616,5.235556,70.916679,62.099468,58.139385,4.202044,3.615227,3.613173
Slc9a3r1,15.046455,42.967457,433.723083,206.248672,246.824097,24.215599,28.008123,33.525307
Slc9a3r2,4.605997147,4.620988116,0.496921087,0.726559396,0.351973093,3.591602825,3.570583739,3.737207296
Slc9a4,0.031912,0.012293,0.329911,0.104297,0.123743,0.006633,0.076376,0.045389
Slc9a5,0.12111,0.442919,0.538287,0.359854,0.267228,0.376994,0.570711,0.533445
Slc9a6,1.477426,2.140859,3.689302,4.415359,3.961778,2.364911,2.15479,2.336402
Slc9a7,1.219983,0.933919,0.141228,0.077183,0.017393,1.145244,0.856854,0.880327
Slc9a8,3.992361009,7.490263289,10.80243152,12.15221496,10.75153377,5.769731,7.468538156,6.433904304
Slc9a9,0.250248,0.218465,0.030629,0.02051,0,0.200199,0.17512,0.120033
Slc9b1,0.014627,0.009433,0.063617,0,0,0,0,0.038564
Slc9b2,0,0,0,0,0,0,0,0
Slc9c1,0,0.006076,0,0,0,0,0,0
Slco1a1,0,0,0,0,0,0,0,0
Slco1a4,0,0,0,0,0,0,0,0
