ImageNumber,ObjectNumber,Metadata_Time,SEX,GENOTYPE,Metadata_Mouse,Metadata_Treatment,Metadata_Well,CASP_Intensity_IntegratedIntensity_CASPGray,DNA_Intensity_IntegratedIntensity_,EDU_Intensity_IntegratedIntensity_EdU,TUNEL_Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
548,1,24HR,Male,WT,BY51,IR,1,1254.34513,874.9542703,1741.513769,160.4575222,0.116057099,0.080954318,0.161131918,0.014846181,0.062745102,0.081045754,0.160784319,0.015686275,0.117586048,0.025267135,0.054160555,0.003142037,1,8940,398.406,1.433612216,1.990405474,0.18338961,0.140307062,0.194800198,0.017948269,0.000160359,0.00022264,2.05134E-05
549,1,24HR,Male,WT,BY51,IR,1,499.1725653,251.1385695,419.5189655,69.74902197,0.138582056,0.069721979,0.116468341,0.019363971,0.137254909,0.06797386,0.113725491,0.018300654,0.025396055,0.013124722,0.028330232,0.00373537,1,2371,291.782,1.987638005,1.670468086,0.277731223,0.210532503,0.176937565,0.029417555,0.000838312,0.000704542,0.000117137
555,1,24HR,Male,WT,BY51,IR,1,416.9255005,331.7424927,321.6797469,87.63921858,0.093543976,0.074431791,0.072174051,0.019663275,0.094117649,0.071895428,0.06666667,0.018300654,0.023126997,0.019008499,0.025843005,0.004685563,1,3122,299.438,1.256774485,0.969666998,0.264178453,0.133544363,0.103036434,0.028071499,0.000402554,0.000310592,8.46183E-05
555,2,24HR,Male,WT,BY51,IR,1,1948.368682,1467.837947,3294.678515,328.4078548,0.10229268,0.077063997,0.172976244,0.017241973,0.094117649,0.077124186,0.169934645,0.015686275,0.062714154,0.022485364,0.058035103,0.004087171,2,14976,1079.078,1.327373152,2.244579193,0.223735771,0.130099405,0.21999723,0.021928943,8.86334E-05,0.000149878,1.49396E-05
558,1,24HR,Male,WT,BY51,IR,1,142.9411807,264.1477191,208.2679797,48.06013228,0.039087006,0.072230713,0.0569505,0.013141956,0.039215688,0.070588239,0.05751634,0.013071896,0.01163948,0.027101766,0.02843499,0.002798212,1,2385,271.986,0.541141075,0.78845269,0.18194415,0.059933409,0.087324101,0.020150999,0.000226894,0.000330588,7.62869E-05
559,1,24HR,Male,WT,BY51,IR,1,380.0862848,270.722883,243.2013134,49.59477289,0.101927135,0.072599325,0.065218909,0.013299751,0.098039217,0.070588239,0.061437909,0.013071896,0.026464759,0.019554602,0.020578761,0.002831687,1,2473,290.54,1.403968075,0.898340438,0.183193871,0.153694414,0.098342626,0.020054498,0.000567719,0.000363259,7.40776E-05
564,1,24HR,Male,WT,BY51,IR,1,169.6745142,268.2496804,172.2379131,45.99738729,0.053440792,0.084488088,0.054248162,0.014487366,0.054901961,0.081045754,0.050980393,0.013071896,0.012334554,0.034149494,0.027286516,0.003083374,1,2107,226.33,0.632524572,0.64208059,0.171472291,0.080528958,0.081745569,0.021830749,0.000300202,0.000304737,8.13822E-05
564,2,24HR,Male,WT,BY51,IR,1,512.7882481,406.6183116,174.4849721,91.06405569,0.089118569,0.070667068,0.030324118,0.015826218,0.090196081,0.06797386,0.027450981,0.015686275,0.02594714,0.017571859,0.012406351,0.003324353,2,4077,441.794,1.261104661,0.429112431,0.223954635,0.125775876,0.042797393,0.022336045,0.000309322,0.000105252,5.49312E-05
565,1,24HR,Male,WT,BY51,IR,1,391.2980495,243.2823598,368.006545,48.02875979,0.11075518,0.068859994,0.104162622,0.013594328,0.070588239,0.06797386,0.103267975,0.013071896,0.07910136,0.016747292,0.026847837,0.002862328,1,2359,265.158,1.608411106,1.512672539,0.19741982,0.165874544,0.156001079,0.020359796,0.000681819,0.000641235,8.36879E-05
567,1,24HR,Male,WT,BY51,IR,1,620.0862909,503.0222371,106.482356,119.9634033,0.087017442,0.070589705,0.014942795,0.016834606,0.086274512,0.070588239,0.013071896,0.015686275,0.019963656,0.014863559,0.005971729,0.003398164,1,5213,494.66,1.232721429,0.211685186,0.238485288,0.118949989,0.02042631,0.023012354,0.000236471,4.06072E-05,4.57482E-05
