ImageNumber,ObjectNumber,Metadata_Day,Sex,Metadata_Genotype,Metadata_Mouse,Cre,Tg,Metadata_Treatment,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized ,,,,,Averages of NOUV,,,,,,,,,,,
7,10,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,593.65361,199.0104633,2.271895487,0,0.06363528889,0.02133245399,0.0002435304413,0,0.05751634017,0.007843137719,0,0,0.03453261142,0.02939934345,0.003120194667,10,7175,480.036,0,0.3352299387,0.003826971569,0,0.02773664994,0.000316640486,0,0.00004672194268,0.0000005333758284,0,0.1954589737,0.01399395059,0,3.032218411,0.03666278579,0,1.445897406,0.02274552734,0,3.798531925,0.01864950449,,,,,,,,,,,,,,,,
7,11,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0.1176470644,185.6679788,10.2679742,0.02875817125,3.53E-05,0.05568925579,0.003079776304,8.63E-06,0,0.05098039284,0,0,0.0008085521166,0.03117185507,0.00751593162,0.0002677284476,11,2201,226.502,0.0006336421882,0.05530288132,0.0001548903124,0.00005345164216,0.00466514048,0.00001306595695,0.0000002878883181,0.0000251262523,0.00000007037269988,0.0006234654861,0.01008473457,0.0001771386182,0.04103900183,0.5002250562,0.001483865308,0.01648724311,0.2431913924,0.000938578906,0.2768156905,2.04278474,0.002460583912,,,,,,,,,,,,,,,,
7,12,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,20.7176476,423.0235402,83.19085203,3.124183087,0.003991070622,0.08149172417,0.01602597804,0.0006018460966,0,0.06666667014,0,0,0.02399386352,0.05631268177,0.03344973124,0.00531961863,12,3805,282.47,0.04897516481,0.1966577368,0.007385364621,0.005444848252,0.02186356164,0.0008210730847,0.00001287126539,0.0000516840307,0.000001940963107,0.1097922698,0.08170624948,0.01924369496,3.171966632,1.778806549,0.07075256144,1.679472009,1.13973631,0.05898089826,12.37621672,4.201953715,0.06786584289,,,,,,,,,,,,,,,,
7,13,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,418.9424951,4.826143963,0.01045751665,0,0.0718967728,0.0008282381951,1.79E-06,0,0.06405229121,0,0,0,0.04047185983,0.003090413221,8.39E-05,13,4450,324.712,0,0.01151982436,0.00002496169945,0,0.001084526733,0.000002350003741,0,0.000002588724576,0.000000005609370662,0,0.004740017839,0.00006441404195,0,0.1041989975,0.0002391356777,0,0.05653582512,0.0001688099807,0,0.2104654127,0.0001961318413,,,,,,,,,,,,,,,,
7,14,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,2.741176566,3423.512511,409.9385744,9.040523113,8.33E-05,0.1039791195,0.01245067804,0.0002745792897,0,0.08496732265,0.001307189581,0,0.001380158867,0.07214591707,0.02203493451,0.004396486567,14,28298,1094.428,0.000800691266,0.1197420991,0.002640715664,0.00009686820857,0.01448648577,0.0003194756913,0.00000002829497724,0.000004231468624,0.00000009331810249,0.01452674565,0.402622916,0.05568593909,0.05185824261,1.08309001,0.0252983308,0.02987915132,0.7551731102,0.02294919125,0.02720670889,0.3440218394,0.003262870716,,,,,,,,,,,,,,,,
8,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,817.0954465,171.2156909,0.0758169964,0,0.1613856304,0.03381704344,1.50E-05,0,0.1450980455,0.0209150333,0,0,0.101825103,0.03522061941,0.0003092325273,1,3635,286.884,0,0.2095418493,0.00009278842113,0,0.04710197825,0.00002085749557,0,0.00005764562567,0.00000002552638821,0,0.1681602197,0.0004670018084,0,1.895345792,0.0008889227282,0,2.455402088,0.001498275668,0,4.686636234,0.0008925310562,,,,,,,,,,,,,,,,
8,2,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,294.8745183,9296.566261,2986.139948,6.732026377,0.005030528998,0.1585984657,0.05094324083,0.0001148476786,0,0.1111111119,0.01045751665,0,0.02970523168,0.1210143098,0.06954054638,0.001151726407,2,52611,1507.114,0.03171864858,0.3212089135,0.0007241411708,0.005604807326,0.05675885172,0.000127958533,0.000000602890053,0.00000610535655,0.00000001376406399,1.562674648,2.932850062,0.04146653972,2.054316618,2.905395577,0.006937347756,1.728811637,2.958809973,0.009191763017,0.5797019741,0.4963704512,0.0004812609788,,,,,,,,,,,,,,,,
8,3,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0.321568639,194.6156916,40.06797508,0.04183006706,9.22E-05,0.05577979122,0.01148408572,1.20E-05,0,0.04705882445,0,0,0.00146071231,0.02823197949,0.01982705851,0.0003250272129,3,2343,267.158,0.001652326369,0.2058825511,0.0002149367644,0.0001372465382,0.01710114173,0.0000178532083,0.0000007052182539,0.00008787134065,0.00000009173570825,0.001704138976,0.0393529323,0.0002576561707,0.1070159565,1.862246745,0.002059116565,0.04233391061,0.8914737909,0.001282465937,0.6780944749,7.144011435,0.003207542247,,,,,,,,,,,,,,,,
8,4,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,517.3137383,179.1202663,0.1934640603,0,0.1187316361,0.04111091721,4.44E-05,0,0.1045751646,0.0189542491,0,0,0.06829901105,0.05587728872,0.0006659948367,4,4002,270.502,0,0.3462507431,0.0003739781993,0,0.04475768773,0.00004834184416,0,0.00008651942605,0.0000000934478259,0,0.1759237321,0.00119165979,0,3.131903678,0.003582750058,0,2.333195419,0.003472584165,0,7.034099679,0.0032674065,,,,,,,,,,,,,,,,
8,5,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,875.3921821,13746.15853,2522.305954,3.895424974,0.008580846154,0.1347438028,0.02472436902,3.82E-05,0,0.1215686277,0.001307189581,0,0.05483269704,0.08441810749,0.04437895704,0.0005831808943,5,94866,1905.794,0.06368267759,0.1834916968,0.0002833828058,0.00922767042,0.0265880922,0.000041062393,0.0000006712908481,0.000001934219813,0.000000002987190414,4.639102686,2.477293531,0.02399423077,4.124525751,1.659717219,0.002714836762,2.846289457,1.386023677,0.002949672653,0.6454719693,0.1572536434,0.0001044472173,,,,,,,,,,,,,,,,
9,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,0,188.7986978,0.009150327183,0.4653594943,0,0.06133810845,2.97E-06,0.0001511889195,0,0.04705882445,0,0,0,0.04403341459,9.12E-05,0.001295420572,1,2005,225.846,0,0.00004846605029,0.002464844831,0,0.000004563754206,0.0002320994984,0,0.00000002417259366,0.000001229349043,0,0.000008987032797,0.002866424888,0,0.0004383846222,0.02361346992,0,0.0002379061777,0.0166726168,0,0.001965251517,0.04298423226,,,,,,,,,,,,,,,,
10,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,258.6039302,31265.53676,6178.974028,797.5791087,0.002138689599,0.2585702322,0.05110095378,0.006596087471,0,0.2823529541,0.04183006659,0,0.009770220021,0.148366816,0.04981965441,0.01796962582,1,113023,1905.048,0.008271213515,0.1976289125,0.02550984858,0.002288064644,0.05467005855,0.007056785864,0.00000007318168439,0.000001748572525,0.0000002257049325,1.370460248,6.068705646,4.91276236,0.5357003572,1.787591017,0.2443870035,0.7057571387,2.849922252,0.506916591,0.07036700422,0.1421603679,0.007891780855,,,,,,,,,,,,,,,,
12,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,587.6862927,22759.91427,3093.427539,6865.940058,0.006546140313,0.2535189168,0.03445717718,0.07647856952,0,0.3058823645,0.0209150333,0.04967320338,0.0194742724,0.1542563602,0.04093386389,0.09216218295,1,83094,1648.132,0.02582111188,0.1359156059,0.3016680984,0.00707254787,0.03722804942,0.08262859,0.0000003107458045,0.000001635684958,0.000003630443815,3.114417875,3.038223026,42.29139343,1.672351806,1.229382448,2.890011768,2.181538516,1.940679217,5.935535522,0.2987940428,0.1329825169,0.1269385949,,,,,,,,,,,,,,,,
13,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,4.968627622,209.7660185,0,466.528118,0.001521318929,0.06422719489,0,0.1428438818,0,0.04313725606,0,0.04967320338,0.00782194148,0.04951658097,0,0.1925422823,1,2089,248.534,0.023686523,0,2.224040487,0.002378471815,0,0.2233260498,0.00001133868981,0,0.001064643603,0.02633102536,0,2.873623134,1.534101231,0,21.30653926,0.733643373,0,16.04238559,10.90258635,0,37.22530081,,,,,,,,,,,,,,,,
13,2,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,25.27058901,434.4405344,0,1885.511167,0.005597029681,0.0962216023,0,0.4176104467,0,0.07843137532,0,0.5908496976,0.01559402808,0.0750321349,0,0.2640090426,2,3281,251.018,0.0581681197,0,4.340090341,0.007702099667,0,0.5746757595,0.00001772877772,0,0.001322794984,0.1339203842,0,11.61398059,3.767365266,0,41.57851701,2.375724759,0,41.28121252,17.04690166,0,46.25157285,,,,,,,,,,,,,,,,
16,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,2989.635378,33078.52251,8676.036838,547.3882522,0.02676726097,0.2961636898,0.07767962072,0.004900960267,0,0.3555555642,0.07320261747,0,0.06109862161,0.1974110374,0.07210831927,0.01432280509,1,104021,2149.512,0.09037995506,0.2622861053,0.01654814697,0.02874069061,0.08340658942,0.005262286002,0.000000868862586,0.000002521472638,0.0000001590846749,15.84344228,8.521206516,3.371688617,5.853624032,2.372427596,0.1585329697,8.865111232,4.34794294,0.3780106315,0.8354447942,0.2049977754,0.005562401222,,,,,,,,,,,,,,,,
20,1,DAY4,Male,WT,AL16,+,WT/WT,NOUV,1,Z3,648.9137443,8063.341397,1970.780447,16.12810507,0.01555476639,0.19328207,0.04724053039,0.0003865982326,0,0.2078431398,0.03921568766,0,0.0369718448,0.1032950759,0.04591142822,0.005474482684,1,37586,1038.97,0.08047702713,0.2444123782,0.002000176388,0.01726477264,0.05243389684,0.0004290987354,0.0000021411437,0.000006502750444,0.00000005321599499,3.438890083,1.935610406,0.09934255631,5.21224269,2.210756342,0.01916189789,5.325346279,2.733352283,0.03082384422,2.05879202,0.5286788979,0.001860699126,,,,,,,,,,,,,,,,
