ImageNumber,ObjectNumber,Metadata_Time,SEX,GENOTYPE,Metadata_Mouse,Metadata_Treatment,Metadata_Well,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
33,1,0HR,FEMALE,WT,CX23,IR,1,550.5608023,1636.776512,6.436601497,937.4693036,0.0279061687,0.08296297391,0.0003262507728,0.04751732493,0.02745098062,0.08104575425,0,0.04705882445,0.009860920675,0.02551044989,0.0005673953489,0.009147050316,1,16012,898.862,0.3363689533,0.003932486475,0.5727533946,0.03438426195,0.000401986104,0.05854792054,0.00002100730411,0.0000002455962075,0.00003577025947
35,1,0HR,FEMALE,WT,CX23,IR,1,1397.141222,5148.000137,19.50196136,2259.035352,0.02748979265,0.1012907315,0.0003837155942,0.0444482007,0.02352941222,0.1019607857,0,0.04444444552,0.01443700247,0.0329482514,0.0005973040002,0.008041140863,1,45143,1397.388,0.2713949465,0.003788259681,0.4388180443,0.03094923292,0.000432004106,0.050041764,0.000006011894346,0.00000008391687928,0.00000972062212
38,1,0HR,FEMALE,WT,CX23,IR,1,60.06274728,279.1385693,1.118954281,146.3790894,0.01668409647,0.07753849148,0.0003108206337,0.04066085817,0.01568627544,0.07712418586,0,0.03921568766,0.005640234733,0.03245056515,0.0005564998002,0.006814398404,1,2396,251.954,0.2151717959,0.004008597895,0.5243957858,0.02506792457,0.0004670092994,0.0610931091,0.00008980458929,0.000001673037519,0.0002188630158
38,2,0HR,FEMALE,WT,CX23,IR,1,2153.654967,6043.337401,23.77647129,3490.154346,0.03160029591,0.08867309438,0.0003488690342,0.05121057541,0.02352941222,0.08888889104,0,0.04705882445,0.02118302683,0.02414870879,0.0005799864505,0.01421101092,2,61958,1502.522,0.3563684806,0.003934327956,0.5775210143,0.03475991748,0.000383751433,0.05633097172,0.000005751775083,0.0000000634999186,0.00000932116941
38,3,0HR,FEMALE,WT,CX23,IR,1,76.58431616,234.2209215,0.9098039484,131.5006574,0.02431248132,0.07435584809,0.0002888266503,0.04174624044,0.01960784383,0.07058823854,0,0.04183006659,0.0126881875,0.02759660206,0.0005423378597,0.007217538489,3,2038,243.12,0.3269747027,0.00388438378,0.5614385622,0.0375781728,0.0004464199943,0.06452436575,0.0001604390101,0.000001905978302,0.0002754850649
39,1,0HR,FEMALE,WT,CX23,IR,1,460.7921724,1501.983046,7.05228779,888.3869524,0.02239464291,0.07299684319,0.0003427433801,0.04317588221,0.01960784383,0.07058823854,0,0.04183006659,0.01223181506,0.02279038114,0.0005776792195,0.007967256,1,17815,607.564,0.306789197,0.00469531784,0.591476019,0.02586540401,0.0003958623514,0.04986735629,0.0000172208362,0.0000002635598002,0.00003320101145
40,1,0HR,FEMALE,WT,CX23,IR,1,1467.639263,5412.862897,17.37385672,2572.91771,0.02879078906,0.1061845358,0.0003408242452,0.05047311892,0.02745098062,0.108496733,0,0.04967320338,0.01335753607,0.03233920628,0.0005762311878,0.01072594642,1,45485,1264.338,0.2711391903,0.003209735227,0.4753339885,0.03226644527,0.0003819689287,0.05656629021,0.00000596106827,0.00000007056689518,0.00001045034602
44,1,0HR,FEMALE,WT,CX23,IR,1,638.0823724,1342.964747,5.475817155,919.5294337,0.03503829402,0.07374470081,0.0003006873403,0.05049307746,0.03137255087,0.071895428,0,0.04967320338,0.01962802139,0.01589484607,0.0005509816561,0.009713923892,1,14831,845.996,0.4751296518,0.004077409455,0.6847010959,0.0430235569,0.0003692142913,0.06200050122,0.00003203625189,0.0000002749247829,0.00004616688665
44,2,0HR,FEMALE,WT,CX23,IR,1,2763.302042,4844.645884,24.6405236,4242.682468,0.05681481263,0.09960823825,0.0005066209594,0.08723158229,0.05098039284,0.09542483836,0,0.06535948068,0.03068633748,0.03712422763,0.0006434412707,0.07717488892,2,42452,1559.534,0.5703826674,0.005086135126,0.8757466634,0.06509238768,0.0005804325733,0.09994069698,0.00001343594336,0.0000001198090815,0.0000206291026
44,3,0HR,FEMALE,WT,CX23,IR,1,463.0666817,1716.362134,7.794771471,1088.750356,0.02458282538,0.09111653311,0.000413801108,0.05779850062,0.02352941222,0.09150326997,0,0.05751634017,0.008764414077,0.0285003557,0.000611587543,0.01235699163,3,16031,638.532,0.2697954426,0.004541449218,0.6343360382,0.02888570156,0.0004862311441,0.06791531135,0.0000168296078,0.0000002832916984,0.00003956933679
46,1,0HR,FEMALE,WT,CX23,IR,1,1152.909839,2949.028832,20.55817054,1122.773893,0.03922929801,0.100344647,0.0006995192263,0.03820388217,0.02352941222,0.1045751646,0.001307189581,0.03660130873,0.03429929949,0.03253325685,0.0006843500431,0.006956342794,1,26073,738.748,0.3909455977,0.006971166344,0.3807266585,0.04421853409,0.0007884850435,0.04306270445,0.00001499426985,0.0000002673710867,0.00001460233416
47,1,0HR,FEMALE,WT,CX23,IR,1,297.6902048,410.2888995,2.179085032,268.8496793,0.05469230293,0.07537918419,0.0004003463222,0.04939365779,0.05098039284,0.071895428,0,0.04967320338,0.02539751277,0.02172938473,0.0006051369323,0.008811609411,1,3855,374.444,0.7255624151,0.005311099165,0.6552692009,0.07722184302,0.0005652620056,0.06974051344,0.0001882133373,0.000001377717034,0.0001699790404
47,2,0HR,FEMALE,WT,CX23,IR,1,447.2588373,1109.090223,4.883660275,670.3581853,0.03276381491,0.08124607891,0.0003577511006,0.04910689219,0.02745098062,0.08104575425,0,0.04967320338,0.01582444952,0.02058299459,0.0005860186591,0.008852395531,2,11022,662.774,0.4032664142,0.004403302971,0.6044216884,0.04057873682,0.00044308295,0.06082001318,0.00003658740829,0.0000003995012675,0.00005483775072
47,3,0HR,FEMALE,WT,CX23,IR,1,364.2823641,1044.117675,2.15163405,462.860145,0.03150958949,0.09031378557,0.0001861114134,0.04003634158,0.02352941222,0.08888889104,0,0.03921568766,0.02255192003,0.03658596669,0.0004571006971,0.006965072492,3,9202,579.042,0.3488901422,0.00206071988,0.4433026623,0.0395873032,0.0002338224354,0.05029995056,0.00003791459924,0.0000002239426082,0.00004817459925
47,4,0HR,FEMALE,WT,CX23,IR,1,416.8353072,1653.355597,10.01045781,946.269303,0.02078460769,0.0824410669,0.0004991502274,0.04718370995,0.01960784383,0.08366013318,0,0.04705882445,0.005848649534,0.0228303267,0.0006396302258,0.008255021125,4,16901,730.742,0.2521147344,0.006054630856,0.5723325974,0.0246633517,0.0005922997344,0.0559889535,0.00001491714895,0.0000003582409831,0.00003386383039
48,1,0HR,FEMALE,WT,CX23,IR,1,392.3568763,1758.857561,5.67843154,882.151655,0.02060481443,0.09236727031,0.0002982056265,0.04632662824,0.01960784383,0.09150326997,0,0.04444444552,0.01068172165,0.03594556484,0.000550326153,0.008338020835,1,16107,687.538,0.2230748441,0.003228477203,0.5015480926,0.02435940127,0.000352544331,0.054768216,0.00001384955883,0.0000002004393868,0.00003113851696
50,1,0HR,FEMALE,WT,CX23,IR,1,1154.823567,3907.330827,19.45751691,2525.86673,0.02275604097,0.0769947747,0.000383414458,0.0497727345,0.02352941222,0.07450980693,0,0.04705882445,0.00881106363,0.02096006231,0.0005975654431,0.01258138296,1,46053,1076.39,0.2955530561,0.004979746476,0.6464430175,0.02507596827,0.0004225027015,0.05484695308,0.000006417672162,0.0000001081307727,0.00001403693609
