ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Secondary Treatment,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized 
71,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,49.71764877,448.1032792,25.26405309,43.87189701,0.007310344,0.065887852,0.003714756,0.006450801,0,0.064052291,0,0.005228758,0.016038698,0.032095012,0.009464818,0.00548146,1,5034,397.584,0.110951317,0.056379978,0.097905771,0.00987637,0.005018684,0.008715117,2.20E-05,1.12E-05,1.94E-05,0.263476511,0.024813197,0.270233011,7.185966097,0.509967601,0.937947472,3.046381998,0.261621413,0.626040989,21.19268141,0.910555832,0.680031526
81,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,354.8588371,7147.851172,1120.028791,702.9542724,0.005205499,0.104853325,0.016429937,0.010311783,0,0.101960786,0,0.007843138,0.01286972,0.049065612,0.030347102,0.013399249,1,62315,1368.376,0.049645527,0.156694476,0.098344839,0.005694597,0.017973663,0.011280659,7.97E-07,2.51E-06,1.58E-06,1.880558929,1.100041045,4.32991192,3.215383862,1.417331268,0.942153789,1.756507527,0.936957864,0.810333964,0.766044828,0.204435341,0.055181429
93,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,4796.231516,23414.55488,1100.745131,743.1163666,0.028105005,0.137204841,0.006450157,0.004354521,0.011764706,0.135947719,0,0.002614379,0.038120986,0.0716777,0.015896617,0.005576933,1,157657,3432.164,0.204839748,0.047011149,0.031737369,0.030421938,0.006981898,0.004713501,1.30E-06,2.98E-07,2.01E-07,25.41741972,1.081101517,4.577294058,13.26682305,0.425224765,0.304047296,9.383694705,0.363962792,0.338589226,1.249302575,0.024242784,0.007038687
97,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,261.1294224,27068.53925,3180.367419,854.1516642,0.00162162,0.168096251,0.019750155,0.005304301,0,0.172549024,0.015686275,0.002614379,0.005182411,0.069511534,0.019182456,0.006313542,1,152419,2115.022,0.009646971,0.117493131,0.031555144,0.001713234,0.020865951,0.005603971,6.33E-08,7.71E-07,2.07E-07,1.383843984,3.1236114,5.261226253,0.624803843,1.062747663,0.302301566,0.528449741,1.087731388,0.402555208,0.060858121,0.062671236,0.007238774
119,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,406.031387,16343.69325,840.5908761,736.6823783,0.005447892,0.219290128,0.011278557,0.009884374,0,0.223529413,0.003921569,0.007843138,0.013289659,0.11908187,0.015551839,0.007644866,1,67827,1579.91,0.024843307,0.051432125,0.045074413,0.00598628,0.01239316,0.010861197,3.66E-07,7.58E-07,6.65E-07,2.151745625,0.825589907,4.537663311,1.609022467,0.465213332,0.431817565,1.846477362,0.646049116,0.780202324,0.35218711,0.061649101,0.023236004
125,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,1113.572587,19064.07111,1490.785665,1818.546463,0.010156812,0.173881967,0.013597345,0.016586826,0.003921569,0.166013077,0.002614379,0.013071896,0.016026803,0.085115565,0.020742311,0.023745202,1,102142,1810.266,0.058412108,0.078198705,0.095391297,0.010902201,0.014595227,0.017804101,5.72E-07,7.66E-07,9.34E-07,5.901329355,1.464181488,11.2015053,3.783167641,0.707322123,0.913858547,3.362800967,0.760841729,1.278938351,0.549876533,0.062242939,0.032654148
125,2,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,18.29019677,1241.954282,39.44575285,188.3686335,0.001465091,0.099483682,0.003159705,0.015088804,0,0.100653596,0,0.013071896,0.005244022,0.052940397,0.00913652,0.010148374,2,10344,506.036,0.014726949,0.031761035,0.15167115,0.001768194,0.003813395,0.018210425,1.42E-06,3.07E-06,1.47E-05,0.0969281,0.038741814,1.160274037,0.953817909,0.287284585,1.453025392,0.545402162,0.19879031,1.308126194,1.368960501,0.249632437,0.512682429
144,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,876.0823808,14533.09061,778.9150564,1132.632716,0.013265735,0.220061638,0.011794416,0.017150448,0,0.236601308,0.003921569,0.015686275,0.024281728,0.113819399,0.016194654,0.013097275,1,59896,1499.834,0.060281905,0.053595968,0.077934745,0.014626726,0.013004459,0.018909989,1.01E-06,8.95E-07,1.30E-06,4.642760364,0.765014739,6.976556071,3.904268429,0.4847857,0.746622969,4.511636646,0.677915794,1.358378654,0.967733567,0.072749362,0.045495377
146,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,265.7215783,7883.659038,592.7163586,1052.786961,0.004430761,0.131455663,0.009883218,0.017554642,0,0.129411772,0.002614379,0.013071896,0.010215315,0.064351359,0.015664744,0.020696915,1,54315,1262.676,0.033705362,0.075182901,0.133540397,0.004892232,0.010912572,0.019382987,6.21E-07,1.38E-06,2.46E-06,1.408179914,0.582138895,6.484738754,2.182989738,0.680043609,1.279330901,1.50901664,0.568866819,1.392355966,0.596686026,0.112536702,0.085966025
148,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,9.400000439,612.6078595,7.239215947,81.03268249,0.001398393,0.09113476,0.001076944,0.012054847,0,0.081045754,0,0.010457517,0.003573677,0.060174701,0.003481116,0.007690469,1,5135,346.508,0.015344237,0.011817047,0.132274964,0.001830575,0.001409779,0.015780464,2.99E-06,2.30E-06,2.58E-05,0.049814892,0.007110027,0.49912831,0.99379776,0.106887434,1.267207916,0.564643607,0.073491068,1.133572586,2.873237476,0.187095529,0.900681351
