ImageNumber,ObjectNumber,Metadata_Day,Metadata_FileLocation,Metadata_Frame,Metadata_Mouse,Metadata_Series,Metadata_Stain,Metadata_Treatment,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized 
40,3,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,246.8156943,3988.296841,263.3098116,1.500653649,0.012331536,0.199265393,0.013155624,7.50E-05,0.003921569,0.202614382,0,0,0.016816376,0.128372565,0.023974609,0.000799448,3,17297,609.15,0.061884986,0.066020615,0.000376264,0.014269278,0.01522286,8.6758E-05,3.57779E-06,3.81688E-06,2.17532E-08,1.307989006,0.258610852,0.009243415,4.00809495,0.597168994,0.003604651,4.401381117,0.793559929,0.006232169,3.440180046,0.310315644,0.0007606
42,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,6.23529439,238.6496796,3.869281177,0,0.001733471,0.066346867,0.001075697,0,0,0.060130719,0,0,0.004770617,0.042982428,0.003916914,0,1,2331,286.368,0.026127395,0.016213226,0,0.002674944,0.001659923,0,1.12087E-05,6.95548E-06,0,0.033043671,0.003800231,0,1.69218878,0.146651705,0,0.825090675,0.086530954,0,10.77756112,0.565486251,0
45,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,391.3882485,4970.277253,1786.495475,2.705882445,0.009745723,0.123761884,0.044484449,6.74E-05,0,0.122875817,0.026143791,0,0.016902788,0.058362441,0.052161004,0.000889064,1,36323,868.754,0.078745758,0.359435779,0.000544413,0.010775218,0.049183588,7.4495E-05,2.16793E-06,9.89554E-06,1.49881E-08,2.074144951,1.754614136,0.016667133,5.100113844,3.251164828,0.005215531,3.323632986,2.563915353,0.005351269,2.084549039,0.804515625,0.000524059
46,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,401.7490335,13787.29187,3658.043237,18.64052344,0.005541825,0.190185283,0.050459945,0.000257132,0,0.190849677,0.026143791,0,0.013335579,0.086300928,0.061127792,0.00321329,1,67395,1166.09,0.029139082,0.265319924,0.001352008,0.00596111,0.054277665,0.000276586,4.32363E-07,3.93679E-06,2.00609E-08,2.129051479,3.592762738,0.11481803,1.887246268,2.399869066,0.012952374,1.838713872,2.829466979,0.019868267,0.41573334,0.320064182,0.000701432
49,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,92.25490531,1781.411813,165.738567,0.007843137,0.00750528,0.144924489,0.01348345,6.38E-07,0,0.13464053,0,0,0.011054007,0.093816538,0.022302984,4.08E-05,1,10280,429.826,0.051787523,0.093037761,4.40276E-06,0.008974213,0.016122429,7.62951E-07,5.0377E-06,9.05037E-06,4.28285E-10,0.488900847,0.162780839,4.83105E-05,3.354114187,0.841544206,4.21789E-05,2.768109987,0.84045398,5.48058E-05,4.843939225,0.735802104,1.4975E-05
49,2,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,29.34117767,672.46407,18.49934694,0.026143792,0.003938413,0.090263634,0.002483134,3.51E-06,0,0.078431375,0,0,0.006965188,0.058628075,0.009572774,0.000154406,2,5891,330.61,0.043632335,0.027509792,3.88776E-05,0.004980679,0.003140273,4.43792E-06,7.40661E-06,4.6698E-06,6.59949E-09,0.155492291,0.018169212,0.000161035,2.825928442,0.248831292,0.000372451,1.536298151,0.163700817,0.000318793,7.121739671,0.379658544,0.000230751
50,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,941.3098308,1431.226182,0,0.718954273,0.065688055,0.099876216,0,5.02E-05,0.047058824,0.095424838,0,0,0.078794896,0.053627951,0,0.000611402,1,11823,590.838,0.65769467,0,0.000502334,0.079616834,0,6.08098E-05,5.56284E-05,0,4.24879E-08,4.98843039,0,0.004428465,42.59680502,0,0.004812417,24.55793776,0,0.004368206,53.48885399,0,0.001485591
52,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,737.3882617,32902.163,5579.244599,6.807843365,0.005346105,0.238542471,0.040449827,4.94E-05,0,0.244444445,0.024836602,0,0.011645148,0.099752731,0.047166409,0.000908849,1,130520,1647.814,0.022411544,0.169570754,0.000206912,0.005649619,0.042746281,5.21594E-05,1.7171E-07,1.29919E-06,1.58529E-09,3.907756929,5.479678835,0.041933541,1.451524847,1.533799652,0.001982236,1.742633844,2.228341814,0.003746813,0.165105434,0.105625499,5.54296E-05
53,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,877.4039497,7215.661628,2654.045823,2.711111205,0.018835282,0.154899032,0.056974558,5.82E-05,0.007843138,0.156862751,0.03267974,0,0.026244591,0.077548255,0.066396578,0.000953933,1,42207,983.996,0.121597158,0.367817389,0.000375726,0.020788115,0.062881651,6.42337E-05,2.88097E-06,8.71461E-06,8.90198E-09,4.649763961,2.606682404,0.01669934,7.875463625,3.326978087,0.003599494,6.412126627,3.277988349,0.004614157,2.770164773,0.70850458,0.000311258
54,1,DAY4,nan,WT,AG51,0,nan,NOUV,1,Z3,181.8274576,4509.864172,2353.249738,55.33072059,0.003658279,0.090736257,0.047346231,0.001113227,0,0.088888891,0.020915033,0,0.010173821,0.043194158,0.062010746,0.007485171,1,44098,1361.026,0.040317724,0.521800579,0.012268822,0.004123259,0.053364092,0.001254722,9.14276E-07,1.18327E-05,2.78217E-07,0.963586681,2.311254248,0.340814696,2.611251535,4.719785262,0.117536591,1.2718256,2.781842892,0.090131583,0.879111117,0.96201214,0.009727874
