ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Secondary Treatment,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected 
60,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,196.2039282,8843.656442,1417.52161,257.7568721,0.003796736036,0.1711333174,0.02743041604,0.004987845116,0,0.1856209189,0.02483660169,0.002614379162,0.01234225992,0.08973335154,0.02292914821,0.005250784523,1,46777,1154.95,0.02218583789,0.1602868247,0.02914596171,0.00000008116672802,0.000000586408193,0.0000001066302909,0.0000004742894561,0.000003426616173,0.0000006230831758
63,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,479.7372728,15933.122,5244.941321,570.5673408,0.005295113387,0.1758622737,0.05789118456,0.006297652768,0,0.1790849715,0.05490196124,0.005228758324,0.01117435886,0.08681922426,0.04431714757,0.005575628412,1,83806,1555.7,0.03010943323,0.3291847839,0.03581014072,0.00000006318298674,0.0000006907761325,0.00000007514560733,0.0000003592753887,0.000003927938142,0.0000004272980541
69,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,776.443164,16099.27626,3244.88637,1337.529455,0.007803841037,0.1618099026,0.03261356218,0.01344318263,0,0.1620915085,0.02614379115,0.01045751665,0.01426332061,0.0825163588,0.03009259068,0.01306914251,1,92016,1805.036,0.04822845148,0.2015547977,0.08308009837,0.0000000848096096,0.0000003544336005,0.0000001460961423,0.0000005241311454,0.000002190432074,0.0000009028875235
71,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,49.71764877,448.1032792,25.26405309,43.87189701,0.007310343887,0.06588785167,0.003714755637,0.006450800914,0,0.06405229121,0,0.005228758324,0.01603869841,0.03209501179,0.009464817987,0.005481460078,1,5034,397.584,0.1109513165,0.05637997814,0.09790577094,0.000001452193859,0.0000007379331818,0.000001281446348,0.00002204038866,0.00001119983674,0.00001944890166
81,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,354.8588371,7147.851172,1120.028791,702.9542724,0.005205498563,0.1048533251,0.01642993679,0.01031178337,0,0.1019607857,0,0.007843137719,0.01286972027,0.04906561241,0.03034710175,0.01339924889,1,62315,1368.376,0.04964552682,0.1566944756,0.09834483896,0.00000008353524133,0.0000002636594206,0.0000001654783498,0.0000007966866216,0.000002514554692,0.000001578188862
93,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,4796.231516,23414.55488,1100.745131,743.1163666,0.02810500496,0.1372048406,0.006450157227,0.004354520648,0.01176470611,0.1359477192,0,0.002614379162,0.0381209856,0.07167770042,0.01589661669,0.005576933064,1,157657,3432.164,0.2048397478,0.04701114914,0.03173736894,0.0000001782667751,0.0000000409125965,0.00000002762021761,0.000001299274678,0.000000298186247,0.000000201306437
97,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,261.1294224,27068.53925,3180.367419,854.1516642,0.001621619713,0.1680962507,0.01975015475,0.00530430146,0,0.1725490242,0.01568627544,0.002614379162,0.005182411008,0.0695115341,0.01918245563,0.006313542026,1,152419,2115.022,0.009646971343,0.1174931307,0.03155514438,0.00000001063922289,0.0000001295780365,0.00000003480078901,0.00000006329244611,0.0000007708561968,0.0000002070289425
119,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,406.031387,16343.69325,840.5908761,736.6823783,0.00544789195,0.2192901281,0.01127855731,0.009884373786,0,0.2235294133,0.003921568859,0.007843137719,0.01328965891,0.1190818697,0.01555183864,0.007644865997,1,67827,1579.91,0.02484330688,0.05143212512,0.04507441293,0.00000008032040263,0.0000001662841834,0.0000001457291902,0.0000003662745939,0.0000007582839447,0.0000006645497063
125,1,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,1113.572587,19064.07111,1490.785665,1818.546463,0.0101568123,0.1738819671,0.01359734458,0.01658682631,0.003921568859,0.1660130769,0.002614379162,0.01307189558,0.01602680289,0.08511556502,0.02074231082,0.0237452016,1,102142,1810.266,0.05841210838,0.07819870463,0.09539129667,0.00000009943815771,0.0000001331219732,0.000000162389872,0.0000005718715942,0.0000007655881482,0.0000009339086436
125,2,DAY4,nan,0,1,0,WT,NOUV,zVAD,nan,18.29019677,1241.954282,39.44575285,188.3686335,0.001465091058,0.09948368164,0.00315970465,0.01508880435,0,0.1006535962,0,0.01307189558,0.005244021541,0.0529403975,0.009136520131,0.01014837429,2,10344,506.036,0.01472694852,0.03176103455,0.1516711495,0.0000001416367999,0.0000003054625531,0.000001458701117,0.000001423718921,0.000003070478978,0.00001466271747
