ImageNumber,ObjectNumber,Metadata_Day,SEX,GENOTYPE,MOUSE #,CRE,GENETICS,TREATMENT,Metadata_Well,Metadata_Zstack,Intensity_IntegratedIntensity_CASPGray,Intensity_IntegratedIntensity_DNA,Intensity_IntegratedIntensity_EdU,Intensity_IntegratedIntensity_TUNEL,Intensity_MeanIntensity_CASPGray,Intensity_MeanIntensity_DNA,Intensity_MeanIntensity_EdU,Intensity_MeanIntensity_TUNEL,Intensity_MedianIntensity_CASPGray,Intensity_MedianIntensity_DNA,Intensity_MedianIntensity_EdU,Intensity_MedianIntensity_TUNEL,Intensity_StdIntensity_CASPGray,Intensity_StdIntensity_DNA,Intensity_StdIntensity_EdU,Intensity_StdIntensity_TUNEL,Number_Object_Number,AreaShape_Area,AreaShape_Perimeter,CASP intensity corrected,EDU Intensity corrected,TUNEL Intensity Corrected ,CASP area corrected,EDU area corrected,TUNEL area Corrected ,CASP area and Intensity corrected,EDU area and intensity corrected,TUNEL area  and intensity Corrected ,CASP NOUV normalized ,EDU NOUV normalized ,TUNEL NOUV normalized ,CASP intensity corrected  NOUV normalized ,EDU Intensity corrected NOUV normalized ,TUNEL Intensity Corrected  NOUV normalized ,CASP area corrected NOUV normalized ,EDU area corrected NOUV normalized ,TUNEL area Corrected  NOUV normalized ,CASP area and Intensity corrected NOUV normalized ,EDU area and intensity corrected NOUV normalized ,TUNEL area  and intensity Corrected NOUV normalized 
95,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,2364.364779,25516.26346,12444.39903,2167.252356,0.01966224067,0.2121952238,0.1034885864,0.01802303849,0.007843137719,0.2274509817,0.0941176489,0.01568627544,0.03618725541,0.09059087744,0.06539091796,0.01340077581,1,112117,1917.596,0.09266108974,0.4877045984,0.08493611765,0.02108836999,0.1109947557,0.01933027423,0.0000008264677947,0.000004349961187,0.0000007575668065,12.52984801,12.22231948,13.34939153,6.001365916,4.411380644,0.8136968438,6.504740899,5.786099969,1.388569372,0.7946805718,0.3536553811,0.02648834988
99,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,797.662768,3474.381791,1497.750368,517.0039372,0.04049871893,0.1764003752,0.07604337776,0.02624918447,0.02352941222,0.1869281083,0.04444444552,0.02352941222,0.06080199897,0.08655671201,0.07846832773,0.01724243106,1,17165,540.902,0.2295840861,0.4310839909,0.1488045841,0.04647030399,0.08725606573,0.03011965845,0.00001337512881,0.00002511412706,0.000008669069856,4.227179046,1.4710219,3.184533616,14.86943563,3.899236504,1.425563397,14.33383837,4.548614176,2.163613135,12.86070078,2.041798948,0.3031143306
104,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,222.8745173,2138.602669,560.0274676,393.3987051,0.01139906492,0.1093802511,0.02864297604,0.02012063753,0.003921568859,0.108496733,0.01307189558,0.01568627544,0.01841317071,0.05162251205,0.03940677967,0.01711475055,1,16889,564.354,0.1042150187,0.261866066,0.1839512831,0.01319643065,0.03315930296,0.02329319113,0.000006170585514,0.00001550512558,0.00001089178063,1.181113783,0.5500333614,2.423175745,6.74967738,2.36862826,1.76227243,4.070459794,1.72857754,1.673241228,5.933255302,1.260579316,0.3808314907
104,2,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,186.7019675,3982.21056,985.752969,412.8156988,0.01020787138,0.2177261104,0.05389573368,0.02257056855,0.007843137719,0.2274509817,0.03921568766,0.0209150333,0.01161851459,0.1170759373,0.05180069977,0.01505881753,2,15924,500.558,0.0468840019,0.2475391379,0.1036649601,0.01172456465,0.06190360267,0.02592412075,0.000002944235236,0.00001554503504,0.000006509982423,0.9894189329,0.968161475,2.542776515,3.036528621,2.239038478,0.993121103,3.61646041,3.227003215,1.862231215,2.830995419,1.263823987,0.227621763
106,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,181.329418,1240.75036,327.3516437,330.8705981,0.01422303067,0.0973213868,0.02567665257,0.02595267065,0.01176470611,0.08366013318,0.003921568859,0.01830065437,0.01453879866,0.05956333638,0.0415832855,0.02642072033,1,10573,480.45,0.146144965,0.2638336076,0.2666697578,0.01715023342,0.0309610937,0.03129391829,0.00001382246902,0.00002495352384,0.00002522176845,0.9609473412,0.3215098104,2.038028081,9.465347473,2.386425048,2.554724024,5.290016478,1.613986014,2.247964823,13.2908356,2.028741776,0.8818800158
113,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,7962.059041,28381.76548,6752.162281,2278.920332,0.06867929235,0.2448160154,0.05824294004,0.01965755779,0.02352941222,0.26797387,0.04052287713,0.01830065437,0.09632132016,0.1174387283,0.05696443069,0.01234653673,1,107307,2109.64,0.2805343116,0.2379049424,0.08029522806,0.07419887837,0.06292378206,0.02123738742,0.000002614315111,0.000002217049609,0.0000007482757701,42.1945846,6.63166493,14.03722077,18.1693207,2.15189535,0.7692366387,22.88676076,3.280184646,1.525564789,2.51376453,0.1802479357,0.02616348846
114,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,2596.886347,7847.660337,1653.835341,875.3621187,0.0603786642,0.1824612959,0.03845234459,0.02035252543,0.02745098062,0.1790849715,0.01568627544,0.01830065437,0.08060314782,0.09340545462,0.04822181248,0.0120325864,1,38873,911.62,0.3309121745,0.2107424722,0.1115443433,0.06680437185,0.04254457697,0.02251851204,0.000008512648227,0.000005421307134,0.000002869455491,13.76208592,1.62432142,5.391874011,21.43213566,1.906205654,1.068606414,20.60591359,2.217827085,1.617592992,8.18523868,0.4407566776,0.1003306116
115,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,1893.682405,2912.013151,356.2405338,526.2353103,0.07754319662,0.1192421748,0.01458746709,0.02154847509,0.05098039284,0.108496733,0.002614379162,0.0209150333,0.08687257086,0.06376746204,0.03051299228,0.01014282344,1,21388,650.36,0.6503000868,0.1223347957,0.1807118591,0.0885394803,0.01665609378,0.02460423183,0.000030404904,0.000005719786594,0.000008449217278,10.0354873,0.3498831568,3.241395113,42.11788127,1.106541442,1.731238412,27.31014198,0.8682736684,1.76741842,29.23548462,0.4650233003,0.2954271775
117,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,22053.8712,31355.73668,7097.157061,4231.126926,0.1353870358,0.1924904796,0.04356890673,0.02597456599,0.1254902035,0.2104575187,0.02875817008,0.02352941222,0.1039924348,0.07416995909,0.04303740224,0.01369625866,1,152543,2442.842,0.703344062,0.2263431771,0.134939484,0.1445747835,0.04652561613,0.0277372736,0.000004610792118,0.000001483799172,0.000000884599647,116.8735285,6.970503021,26.06201802,45.55337189,2.04731699,1.292734295,44.59431941,2.425356625,1.992477092,4.43345396,0.120634079,0.03093005759
120,1,DAY4,Male,WT,BF33,-,Tg/WT,NOUV,nan,Z1,2166.937317,6204.644589,2704.371318,630.3372748,0.06250900933,0.1789835744,0.07801221134,0.01818315568,0.02745098062,0.1869281083,0.07058823854,0.01830065437,0.1054017002,0.06337024513,0.05285083839,0.008713219231,1,32067,775.678,0.3492443904,0.4358624059,0.1015911977,0.06757530537,0.08433502723,0.01965688324,0.00001089108399,0.00001359224143,0.000003168091735,11.4835898,2.656109803,3.882620801,22.61945534,3.942458174,0.9732542431,20.84370924,4.396341929,1.412030978,10.47219615,1.105060279,0.1107724383
